0.16773,0.72007,0.072455,0.026862,0.01288
0.06803,0.80717,0.086482,0.026804,0.011516
0.066762,0.63745,0.22183,0.053612,0.020348
0.28642,0.59086,0.076983,0.030508,0.015229
0.3586,0.51781,0.076465,0.031243,0.015888
0.032124,0.1443,0.69931,0.097754,0.026505
0.1932,0.69126,0.074063,0.02794,0.013538
0.22166,0.65978,0.075441,0.028944,0.014169
0.072471,0.52197,0.30294,0.075254,0.027365
0.037838,0.12548,0.52433,0.25757,0.054781
0.069765,0.44519,0.36634,0.087999,0.030704
0.052227,0.23526,0.54113,0.13253,0.038854
0.010582,0.022216,0.062082,0.76407,0.14105
0.018024,0.04527,0.16362,0.70241,0.070678
0.01288,0.026862,0.072455,0.72007,0.16773
0.014197,0.026879,0.062718,0.34568,0.55053
0.014825,0.025877,0.052312,0.17843,0.72856
0.014256,0.025532,0.053736,0.20791,0.69857
0.011098,0.02393,0.06821,0.78653,0.11023
0.010522,0.023835,0.073651,0.81834,0.073651
